symbol,name,sector,exchange
20MICRONS,20 Microns Limited,NSE Equity,NS
21STCENMGM,21st Century Management Services Limited,NSE Equity,NS
360ONE,360 ONE WAM LIMITED,NSE Equity,NS
3IINFOLTD,3i Infotech Limited,NSE Equity,NS
3MINDIA,3M India Limited,NSE Equity,NS
3PLAND,3P Land Holdings Limited,NSE Equity,NS
5PAISA,5Paisa Capital Limited,NSE Equity,NS
63MOONS,63 moons technologies limited,NSE Equity,NS
A2ZINFRA,A2Z Infra Engineering Limited,NSE Equity,NS
AAATECH,AAA Technologies Limited,NSE Equity,NS
AADHARHFC,Aadhar Housing Finance Limited,NSE Equity,NS
AAKASH,Aakash Exploration Services Limited,NSE Equity,NS
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE Equity,NS
AARON,Aaron Industries Limited,NSE Equity,NS
AARTECH,Aartech Solonics Limited,NSE Equity,NS
AARTIDRUGS,Aarti Drugs Limited,NSE Equity,NS
AARTIIND,Aarti Industries Limited,NSE Equity,NS
AARTIPHARM,Aarti Pharmalabs Limited,NSE Equity,NS
AARTISURF,Aarti Surfactants Limited,NSE Equity,NS
AARVI,Aarvi Encon Limited,NSE Equity,NS
AAVAS,Aavas Financiers Limited,NSE Equity,NS
ABAN,Aban Offshore Limited,NSE Equity,NS
ABB,ABB India Limited,NSE Equity,NS
ABBOTINDIA,Abbott India Limited,NSE Equity,NS
ABCAPITAL,Aditya Birla Capital Limited,NSE Equity,NS
ABCOTS,A B Cotspin India Limited,NSE Equity,NS
ABDL,Allied Blenders and Distillers Limited,NSE Equity,NS
ABFRL,Aditya Birla Fashion and Retail Limited,NSE Equity,NS
ABINFRA,A B Infrabuild Limited,NSE Equity,NS
ABLBL,Aditya Birla Lifestyle Brands Limited,NSE Equity,NS
ABMINTLLTD,ABM International Limited,NSE Equity,NS
ABREL,Aditya Birla Real Estate Limited,NSE Equity,NS
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE Equity,NS
ACC,ACC Limited,NSE Equity,NS
ACCELYA,Accelya Solutions India Limited,NSE Equity,NS
ACCURACY,Accuracy Shipping Limited,NSE Equity,NS
ACE,Action Construction Equipment Limited,NSE Equity,NS
ACEINTEG,Ace Integrated Solutions Limited,NSE Equity,NS
ACI,Archean Chemical Industries Limited,NSE Equity,NS
ACL,Andhra Cements Limited,NSE Equity,NS
ACMESOLAR,Acme Solar Holdings Limited,NSE Equity,NS
ACUTAAS,Acutaas Chemicals Limited,NSE Equity,NS
ADANIENSOL,Adani Energy Solutions Limited,NSE Equity,NS
ADANIENT,Adani Enterprises Limited,NSE Equity,NS
ADANIGREEN,Adani Green Energy Limited,NSE Equity,NS
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE Equity,NS
ADANIPOWER,Adani Power Limited,NSE Equity,NS
ADFFOODS,ADF Foods Limited,NSE Equity,NS
ADL,Archidply Decor Limited,NSE Equity,NS
ADOR,Ador Welding Limited,NSE Equity,NS
ADROITINFO,Adroit Infotech Limited,NSE Equity,NS
ADSL,Allied Digital Services Limited,NSE Equity,NS
ADVANCE,Advance Agrolife Limited,NSE Equity,NS
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE Equity,NS
ADVENTHTL,Advent Hotels International Limited,NSE Equity,NS
ADVENZYMES,Advanced Enzyme Technologies Limited,NSE Equity,NS
AEGISLOG,Aegis Logistics Limited,NSE Equity,NS
AEGISVOPAK,Aegis Vopak Terminals Limited,NSE Equity,NS
AEQUS,Aequs Limited,NSE Equity,NS
AEROENTER,Aeroflex Enterprises Limited,NSE Equity,NS
AEROFLEX,Aeroflex Industries Limited,NSE Equity,NS
AERONEU,Aeroflex Neu Limited,NSE Equity,NS
AETHER,Aether Industries Limited,NSE Equity,NS
AFCONS,Afcons Infrastructure Limited,NSE Equity,NS
AFFLE,Affle 3i Limited,NSE Equity,NS
AFFORDABLE,Affordable Robotic & Automation Limited,NSE Equity,NS
AFIL,Akme Fintrade (India) Limited,NSE Equity,NS
AFSL,Abans Financial Services Limited,NSE Equity,NS
AGARIND,Agarwal Industrial Corporation Limited,NSE Equity,NS
AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE Equity,NS
AGI,AGI Greenpac Limited,NSE Equity,NS
AGIIL,Agi Infra Limited,NSE Equity,NS
AGRITECH,Agri-Tech (India) Limited,NSE Equity,NS
AGROPHOS,Agro Phos India Limited,NSE Equity,NS
AGSTRA,AGS Transact Technologies Limited,NSE Equity,NS
AHCL,Anlon Healthcare Limited,NSE Equity,NS
AHLADA,Ahlada Engineers Limited,NSE Equity,NS
AHLEAST,Asian Hotels (East) Limited,NSE Equity,NS
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE Equity,NS
AIAENG,AIA Engineering Limited,NSE Equity,NS
AIIL,Authum Investment & Infrastructure Limited,NSE Equity,NS
AIRAN,Airan Limited,NSE Equity,NS
AIROLAM,Airo Lam limited,NSE Equity,NS
AJANTPHARM,Ajanta Pharma Limited,NSE Equity,NS
AJAXENGG,Ajax Engineering Limited,NSE Equity,NS
AJMERA,Ajmera Realty & Infra India Limited,NSE Equity,NS
AJOONI,Ajooni Biotech Limited,NSE Equity,NS
AKASH,Akash Infra-Projects Limited,NSE Equity,NS
AKG,Akg Exim Limited,NSE Equity,NS
AKI,AKI India Limited,NSE Equity,NS
AKSHAR,Akshar Spintex Limited,NSE Equity,NS
AKSHARCHEM,AksharChem India Limited,NSE Equity,NS
AKSHOPTFBR,Aksh Optifibre Limited,NSE Equity,NS
AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE Equity,NS
AKZOINDIA,Akzo Nobel India Limited,NSE Equity,NS
ALANKIT,Alankit Limited,NSE Equity,NS
ALBERTDAVD,Albert David Limited,NSE Equity,NS
ALEMBICLTD,Alembic Limited,NSE Equity,NS
ALICON,Alicon Castalloy Limited,NSE Equity,NS
ALIVUS,Alivus Life Sciences Limited,NSE Equity,NS
ALKALI,Alkali Metals Limited,NSE Equity,NS
ALKEM,Alkem Laboratories Limited,NSE Equity,NS
ALKYLAMINE,Alkyl Amines Chemicals Limited,NSE Equity,NS
ALLCARGO,Allcargo Logistics Limited,NSE Equity,NS
ALLDIGI,Alldigi Tech Limited,NSE Equity,NS
ALLTIME,All Time Plastics Limited,NSE Equity,NS
ALMONDZ,Almondz Global Securities Limited,NSE Equity,NS
ALOKINDS,Alok Industries Limited,NSE Equity,NS
ALPA,Alpa Laboratories Limited,NSE Equity,NS
ALPHAGEO,Alphageo (India) Limited,NSE Equity,NS
ALPSINDUS,Alps Industries Limited,NSE Equity,NS
AMANTA,Amanta Healthcare Limited,NSE Equity,NS
AMBER,Amber Enterprises India Limited,NSE Equity,NS
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,NSE Equity,NS
AMBIKCO,Ambika Cotton Mills Limited,NSE Equity,NS
AMBUJACEM,Ambuja Cements Limited,NSE Equity,NS
AMDIND,AMD Industries Limited,NSE Equity,NS
AMJLAND,Amj Land Holdings Limited,NSE Equity,NS
AMNPLST,Amines & Plasticizers Limited,NSE Equity,NS
AMRUTANJAN,Amrutanjan Health Care Limited,NSE Equity,NS
ANANDRATHI,Anand Rathi Wealth Limited,NSE Equity,NS
